Domanie;Cat‚gories;Visites;Part sur ordinateur;nombre vue ordinateur;Part sur mobile;nombre vue mobile;MoM;YoY;Principale source de trafic
google.com;1;4.04B;23.13;935.15M;76.87;3.11B;3.04%;8.07%;Direct
youtube.com;9;2.49B;15.27;380.83M;84.73;2.11B;6.77%;19.79%;Direct
facebook.com;2;452.62M;50.28;227.6M;49.72;225.02M;5.05%;11.04%;Direct
pornhub.com;3;371.59M;5.7;21.17M;94.3;350.42M;9.58%;26.9%;Recherche
wikipedia.org;1;298.78M;20.88;62.39M;79.12;236.39M;16.77%;-19.53%;Recherche
amazon.fr;4;231.15M;37.45;86.57M;62.55;144.58M;5.29%;-4.33%;Direct
instagram.com;2;169.09M;39.81;67.32M;60.19;101.77M;1.84%;17.24%;Direct
leboncoin.fr;4;167.48M;31.73;53.15M;68.27;114.33M;11%;-7.45%;Direct
yahoo.com;1;162.21M;74.79;121.32M;25.21;40.9M;0.06%;-30.29%;Direct
anime-sama.fr;5;157.54M;3.64;5.73M;96.36;151.81M;-21.46%;275.59%;Direct
twitter.com;2;154.94M;37.63;58.31M;62.37;96.63M;3.71%;-12.46%;Direct
bing.com;1;153.15M;29.44;45.09M;70.56;108.06M;-0.04%;21.29%;Direct
tiktok.com;2;104.83M;13.91;14.58M;86.09;90.25M;6.85%;104.33%;Direct
xvideos.com;3;102.87M;11.06;11.38M;88.94;91.49M;-5.77%;-5.98%;Direct
japscan.lol;5;99.96M;1.07;1.07M;98.93;98.89M;-16.78%;1162.56%;Direct
jeuxvideo.com;8;98.57M;11.71;11.55M;88.29;87.02M;13.51%;-18.04%;Direct
lemonde.fr;7;98M;15.63;15.32M;84.37;82.68M;17.19%;-22.84%;Direct
orange.fr;6;91.63M;62.35;57.13M;37.65;34.5M;1.37%;-6.43%;Direct
francetvinfo.fr;7;90.24M;11.01;9.93M;88.99;80.31M;18.01%;-12.67%;Direct
lequipe.fr;7;90.11M;8.74;7.87M;91.26;82.24M;18.29%;-15.3%;Direct
lefigaro.fr;7;89.43M;19.04;17.02M;80.96;72.41M;12.65%;-10.72%;Direct
ecosia.org;7;88.05M;16.61;14.62M;83.39;73.43M;20.71%;50.3%;Direct
ouest-france.fr;7;83.99M;14.8;12.43M;85.2;71.56M;14.85%;-4.77%;Direct
live.com;7;83.16M;62.1;51.65M;37.9;31.52M;-2.4%;-15.69%;Direct
weather.com;7;82.53M;1.28;1.05M;98.72;81.47M;27.31%;23.96%;Direct
programme-tv.net;8;78.17M;14.66;11.46M;85.34;66.71M;2.11%;-10.49%;Direct
xhamster.com;8;76.97M;15.39;11.84M;84.61;65.13M;-6.68%;8.5%;Direct
meteofrance.com;7;73.36M;15.18;11.13M;84.82;62.22M;28.13%;-8.64%;Direct
linkedin.com;2;72.41M;61.52;44.55M;38.48;27.86M;3.66%;-0.35%;Direct
index-education.net;8;71.95M;24.88;17.9M;75.12;54.05M;7.43%;4.68%;Direct
netflix.com;9;65.68M;78.76;51.73M;21.24;13.95M;-1.04%;-13.07%;Direct
aliexpress.com;4;65.21M;48.36;31.53M;51.64;33.67M;20.85%;22.38%;R‚f‚rent
bfmtv.com;7;61.32M;14.48;8.88M;85.52;52.44M;21.58%;-10.3%;Direct
twitch.tv;9;61.11M;70.12;42.85M;29.88;18.26M;0.22%;2.38%;Direct
scan-manga.com;5;60.75M;2.16;1.31M;97.84;59.44M;-17.92%;366.45%;Direct
openai.com;1;59.06M;58.93;34.8M;41.07;24.26M;3.85%;287.3%;Direct
xnxx.com;3;57.7M;11.11;6.41M;88.89;51.29M;-9.91%;-6.53%;Recherche
free.fr;6;57.27M;40.5;23.19M;59.5;34.07M;2.8%;-4.11%;Direct
allocine.fr;8;57.23M;21.23;12.15M;78.77;45.08M;5.3%;-5.95%;Recherche
microsoft.com;1;56.7M;59.48;33.72M;40.52;22.98M;-0.13%;40.06%;Direct
laposte.fr;1;56.53M;25.15;14.22M;74.85;42.31M;3.57%;23.38%;Direct
reddit.com;8;54.79M;26.57;14.56M;73.43;40.23M;3.64%;-8.2%;Recherche
wiflix.voto;1;54.71M;8.53;4.67M;91.47;50.05M;-49.47%;0%;Direct
papadustream.bz;9;51.95M;5.95;3.09M;94.05;48.86M;39.91%;0%;Direct
marmiton.org;8;51.61M;9.78;5.05M;90.22;46.56M;6.31%;-9.03%;Recherche
ameli.fr;8;49.22M;34.05;16.76M;65.95;32.46M;4.72%;-9.58%;Direct
actu.fr;7;49.08M;25.43;12.48M;74.57;36.6M;20.3%;19.81%;Direct
20minutes.fr;7;48.82M;11.06;5.4M;88.94;43.42M;25.11%;-21.14%;Direct
qwant.com;1;46.71M;11.49;5.37M;88.51;41.35M;-5.88%;-1.09%;Direct
footmercato.net;8;46.18M;6.75;3.12M;93.25;43.06M;8.41%;-21.32%;Direct
cdiscount.com;4;45.5M;26.29;11.96M;73.71;33.54M;-6.61%;-19.06%;Direct
doctolib.fr;8;45.37M;28.96;13.14M;71.04;32.23M;-8.41%;-2.12%;Direct
leparisien.fr;7;45.37M;14.86;6.74M;85.14;38.63M;23.44%;-3.5%;Direct
wiflix.cloud;1;45.24M;6.2;2.81M;93.8;42.43M;0%;0%;Direct
service-public.fr;8;44.94M;34.03;15.29M;65.97;29.65M;2.78%;-15.92%;Recherche
filmoflix.to;9;44.5M;6.15;2.74M;93.85;41.77M;13.18%;0%;Direct
3hentai.net;3;44.03M;0.55;241.76K;99.45;43.79M;-26.37%;411.46%;Direct
sfr.fr;6;42.46M;34.86;14.8M;65.14;27.66M;10.32%;2.88%;Direct
leroymerlin.fr;4;42.02M;28.04;11.78M;71.96;30.24M;7.22%;-11.19%;Recherche
education.gouv.fr;1;40.23M;33.03;13.29M;66.97;26.95M;10.12%;11.55%;R‚f‚rent
microsoftonline.com;1;39.46M;82.25;32.45M;17.75;7M;2.27%;15.15%;R‚f‚rent
franceconnect.gouv.fr;1;37.58M;56.31;21.16M;43.69;16.42M;4.26%;1.81%;R‚f‚rent
meteociel.fr;7;37.57M;9.67;3.63M;90.33;33.94M;39.83%;-6.39%;Direct
ladepeche.fr;7;36.44M;12.6;4.59M;87.4;31.84M;21.83%;1.01%;Direct
booking.com;8;36.03M;42.55;15.33M;57.45;20.7M;12.9%;-2.58%;Direct
credit-agricole.fr;10;35.74M;52.51;18.77M;47.49;16.97M;-5.6%;-10.85%;Direct
office.com;1;35.56M;54.88;19.52M;45.12;16.05M;3.81%;-16.07%;Direct
whatsapp.com;2;35.06M;62.25;21.83M;37.75;13.24M;12.68%;39.93%;Direct
pole-emploi.fr;8;34.28M;22.24;7.62M;77.76;26.66M;-15.49%;-0.95%;R‚f‚rent
neko-sama.fr;5;34.23M;4.47;1.53M;95.53;32.7M;-27.72%;41.83%;Direct
canva.com;8;32.21M;85.27;27.47M;14.73;4.74M;5.69%;8.35%;Direct
journaldesfemmes.fr;7;31.92M;12.3;3.93M;87.7;28M;10.29%;-31.1%;Recherche
fnac.com;4;30.75M;31.73;9.76M;68.27;21M;-1.14%;-13.78%;Direct
1fichier.com;1;30.24M;54.5;16.48M;45.5;13.76M;3.04%;56.39%;R‚f‚rent
radiofrance.fr;7;30.18M;17.09;5.16M;82.91;25.03M;9.37%;5.42%;Direct
dealabs.com;4;30.1M;26.58;8M;73.42;22.1M;6.91%;-14.23%;Direct
indeed.com;1;29.86M;29.99;8.96M;70.01;20.91M;7.56%;-1.05%;Direct
impots.gouv.fr;1;29.78M;58.25;17.35M;41.75;12.43M;4.09%;-4.33%;Direct
notube.lol;1;29.54M;10.73;3.17M;89.27;26.37M;1.01%;21061.33%;Direct
canalplus.com;9;29.49M;73.65;21.72M;26.35;7.77M;4.15%;5.14%;Direct
phenixscans.fr;5;28.87M;1.26;365.21K;98.74;28.51M;-20.17%;0%;Direct
pinterest.fr;8;28.85M;56.76;16.37M;43.24;12.47M;5.72%;-1.34%;Direct
francetravail.fr;1;28.52M;26.27;7.49M;73.73;21.03M;76.32%;8206.141%;Direct
france.tv;9;28.48M;39.52;11.25M;60.48;17.23M;1.71%;-1.61%;Direct
manga-scantrad.io;5;28.32M;1.89;535.8K;98.11;27.78M;-17.62%;685.49%;Direct
boursorama.com;10;28.28M;30.27;8.56M;69.73;19.72M;-6.68%;-29.37%;Direct
lelmanga.com;5;27.88M;2.09;583.17K;97.91;27.3M;-15.83%;64.19%;Direct
sudouest.fr;7;27.72M;14.71;4.08M;85.29;23.64M;14.92%;10.82%;Direct
paypal.com;10;27.41M;43.19;11.84M;56.81;15.57M;9.52%;-10.23%;Direct
sushiscan.net;5;27.05M;2.67;722.12K;97.33;26.33M;-19.01%;1677.91%;Direct
caf.fr;1;26.9M;42.42;11.41M;57.58;15.49M;-3.11%;-3.94%;Direct
edf.fr;6;26.33M;21.81;5.74M;78.19;20.58M;5.16%;17.33%;Direct
linternaute.com;8;25.89M;25.49;6.6M;74.51;19.29M;47.58%;-14.96%;Direct
cuisineaz.com;8;25.87M;11.28;2.92M;88.72;22.96M;1.84%;6.17%;Recherche
seloger.com;8;25.81M;23.85;6.16M;76.15;19.65M;11.78%;-2.41%;Direct
tf1.fr;9;25.75M;53.09;13.67M;46.91;12.08M;7.06%;-10.24%;Direct
vinted.fr;4;25.2M;55.13;13.89M;44.87;11.31M;2.92%;-2.45%;Direct
temu.com;4;25.12M;41.6;10.45M;58.4;14.67M;31.02%;78039.75%;Direct
sncf-connect.com;4;25.02M;38.97;9.75M;61.03;15.27M;4.66%;-8.31%;Direct
